Unnamed: 0,User,CREATED_AT,LABEL,STEMMING WORDS,LIKE COUNT,FOLLOWERS COUNT,RETWEET COUNT
34,1.43516E+18,9/7/2021 8:17,Sport,මහීෂ් තීක්ෂණ තම මංගල එක්දින තරඟ ක්රීඩා කිරීමට නියමිතයි ඒ අනුව ඔහු වන සියවසේදී උපත ලැබූ ශ්රී ලංකාවේ පළමු ජාත්යන්තර ක්රිකට් ක්රීඩකයා බවට පත්වේ හොද ගමනක යමු කොල්ලෝ සුභ පැතුම මෙන්ඩිස් වඩා ලංකා ඔසවා තබන්න ශක්තිය දෛර්යය ලැබේවා,33,1344,2
35,1.43515E+18,9/7/2021 7:48,Sport,භානුක රාජපක්ශ මහතා තමංගෙ එක්දින ක්රීඩා දිවියට සමුදි වේදිකාවෙන් බැසගියෝය,4,5775,0
36,1.43513E+18,9/7/2021 6:55,Sport,පැරාලිම්පික් පදක්කම් ගත්තු දෙන්නට ජපනෙන් වාහන දෙකක් දුන්න ගනන් ඉතින් අඩුයි නෙහ් මෙහෙ කොහොම ලංකා ගේද්දි ටැක්ස් ගහයිද දන්නේ එහෙම උනොත් ක්රීඩා අමාත්යංශයෙන් දෙන සල්ලි ටිකෙන් බාගය වගේ යනව ටැක්ස් ගෙවන්න,39,4175,4
37,1.43513E+18,9/7/2021 6:43,Sport,පැරාලිම්පික් ක්රීඩා උළෙලේදී මව්බිම ජයග්රහණ ගෙනා ක්රීඩකයින්ට මුදල් ත්යාග ටෝකියෝ පැරාලිම්පික් උළෙලේදී පදක්කම් දිනූ ක්රීඩකයි දෙදෙනාට සහ ඔවුන්ගේ පුහුණුකරු දෙදෙනාට මුදල් ත්යාග පිරිනැමී කැබිනට් මණ්ඩලයේ අනුමැති හිමිවී ඇත වැඩි විස්තර,19,117259,6
38,1.4351E+18,9/7/2021 4:45,Sport,අද තරඟ මිනෝද් බානුක වෙනුවට කඩුලු රකින පිතිකරු දිනේෂ චන්දිමාල් ක්රීඩා කිරීමට නියමිතයයි,75,3126,1
39,1.43508E+18,9/7/2021 3:33,Sport,ටෝකියෝ පැරාලිම්පික් ක්රීඩා උළෙලේදී රටට කීර්තිය ගෙන දුන් ක්රීඩකයන් කටුනායක ගුවන්තොටුප පරිශ්රය උණුසුම පිළිගැනීම,0,57,0
40,1.43488E+18,9/6/2021 14:01,Sport,එළඹෙන එක්දින ලෝක කුසලා ක්රිකට් තරඟ සදහා ක්රීඩා කරන පාකිස්තාන ක්රිකට් සංචිත අද ප්රකාශයට පත් කර තිබෙනව දෙනෙකු සමන්විත මෙම සංචිත නායකත්ව බාබර් අසාම්ට හිමිව ඇති අතර ශදාබ් ඛාන් උප නායකයා ලෙස කටයුතු කරනවා,0,116,0
41,1.43478E+18,9/6/2021 7:34,Sport,එදා ඒ නීති පැන වුණේ ඒ නිසයි ඒ අයට අපේ මිනිසුන් ශරීර ශක්තිය අභියෝගයක වුණා ඒ වගේම ඒ අයගේ සිගරැට් එක ප්රචාරය කරන්න දැඩි අවශ්යතා තිබුණා අපේ රටේ ඉතිහාසයේ සිට පැවැති අංගම්පොර වැනි ක්රීඩා සහ නොයෙක් සටන්ක්රමවලින් සුදු ජාතිකයන් පරාද කිරීමට හේතුව,1,319,0
42,1.43478E+18,9/6/2021 7:31,Sport,හෙට පැවැත්වෙන අවසන් එක්දින තරඟ සදහා භානුක රාජපක්ශ ක්රීඩා කිරීම අවිනිශ්චිත තත්වය,2,214,0
43,1.4344E+18,9/5/2021 6:34,Sport,වන විට ටෙස්ට් ක්රීඩා කරන කණ්ඩායම් ක් පමණක සිටිය හැකි බව හැඟේ කෙවින් පීටර්සන්,0,786,0
44,1.43439E+18,9/5/2021 5:56,Sport,හොඳ ක්රීඩා කරන්න ක්රීඩා කරන්න අපි ගැන අවධානය යොමු වෙන නිසා තව තව මහන්සි වෙන්න ඕනේ,17,22524,1
45,1.43438E+18,9/5/2021 4:51,Sport,ඊට පස්සේ රෝදපුටුවට සමුදුන් රැල්ෆ් තමන්ගේ බිරිඳ වුන ජීන්ගේ උදව්ද ඇතුව ඇවිදීමටත් ගෝල්ෆ් මෙන්ම බාස්කට් බෝල් ක්රීඩා කිරීමට පුහුණු වුනාඒ වගේම රැල්ෆ් විශ්වවිද්යාල උපාධියක්ද ලබාගත්තා,2,316,0
46,1.43428E+18,9/4/2021 22:19,Politics,දිනේෂ්ට කෝටි යි සමිතට කෝටි යි ක්රිකට් ක්රීඩා කිරීමෙන් පමණක ශ්රී ලංකාවේ සාර්ථකත්වය පත් විය හැකි බවට ඇති මතය බිඳ හෙලී ක්රීඩා අමාත්යංශය ගෙන ඇති පියවර ප්රශංසනීය,2,509,0
47,1.43418E+18,9/4/2021 15:48,Sport,හම්බන්තොට දිස්ත්රික්කයේ වයස අවුරුදු ත් ත් අතර තරුණ ප්රජාව වෙත එන්නත්කරණය සිදු කිරීම දින ආරම්භ වූ බව තරුණ හා ක්රීඩා අමාත්ය නාමල් රාජපක්ෂ මහතා පැවසීය අතිගරු ජනාධිපතිතුමාගේ හා අග්රාමාත්යතුමන්ගේ උපදෙස පරිදි සෞඛ්ය අමාත්යතුමා මගපෙන්වීම,0,116,0
48,1.43408E+18,9/4/2021 9:02,Sport,ක්රීඩා පිටියේ ආවරණ යළි ඉවත් කෙරෙයි,2,652,0
49,1.43406E+18,9/4/2021 7:54,Sport,ඒක ඇත්ත ක්රීඩාවට ප්රධාන වෙන්නෙ භාෂා දැනුම නෙමෙයි ක්රීඩා කුසලතා ඔහු කුසලතා පරිපූර්ණ ක්රීඩකයෙක් ඔහුගේ අවශ්යතා මතයි ඉංග්රීසි ඉගෙන ගැනීම හෝ නොගැනීම තීරණය වෙන්න ඕන ලෝකය උවමනා විදියට නෙමෙයි,11,189,0
50,1.43405E+18,9/4/2021 6:53,Other,ප්රිය ක්රීඩා ලෝලි අසන්නනි මද හිරු රැස් කෙමෙන් කෙමෙන් ක්රීඩා පිටියට පතිත වන ආකරයක් පෙන්නු කරනවා රෙද්ද අස්සෙන් සමාවෙන්න කාමරේ ආපු කෙනා ලයිට් එක ඕෆ් කරලා ගිහිල්ල නෑ මිතුරනි,6,578,0
51,1.43395E+18,9/4/2021 0:17,Other,සුභ උදෑසනක් ප්රිය ක්රීඩා ලෝලි හිතවතුනි,4,351,0
52,1.4338E+18,9/3/2021 14:12,Sport,හිරු මැච් එක ගැන මොකද්ද කියන්නෙ කියල බලන්න හිටියා ක්රීඩා ප්රවෘත්ති වත් කිව්වෙ නෑ අද පව්,9,299,0
53,1.4337E+18,9/3/2021 7:47,Sport,ඩයලොග් ශ්රී ලාංකීය ක්රිකට් විශ්වාසය සහතික කරමින් ආරාධිත ලීග ක්රිකට් තරගාවලිය සඳහා සවිබල සපයයි ක්රිකට් යනු ශ්රී ලාංකිකයන්ගේ ක්රීඩා රසිකත්වයේ හිණි පෙත්තේම රැඳුණු ආදරණීය ක්රීඩාවයි එය අද මෙන්ම හෙට ද සමස්ත ලාංකිකයන තුළ ඇත්තේ ලෙන්ගතු වූ,2,7790,0
54,1.43367E+18,9/3/2021 6:04,Sport,දකුනු අප්රිකාව සමග පැවති පලමු එක්දින තරගයම කිසිදු තරගකාරිත්වයකින් තොරව තවත් අවමන් සහගත පරාජයක් මෙරට සුවහසක් ක්රීඩා ලෝලින්ට ඊයේ ශ්රී ලංකා ක්රිකට් කන්ඩායම අත්කර දුන්නා,1,11,0
55,1.4336E+18,9/3/2021 1:10,Sport,රනින් බැබළවූ දිනේෂ්ට ලෝකඩ දිනූ සමිතට ක්රීඩා අමාත්යාංශයෙන් කෝටි ක මුදල් තෑගි,3,1834,0
56,1.43349E+18,9/2/2021 18:04,Sport,ජයග්රහණයේ පිපාසයෙන් සිටි ශ්රී ලංකා ක්රීඩා ලෝලීන් සුභ ලකුණු පෙන්වමින් අද දින ආර් ප්රේමදාස ක්රීඩාංගනයේ දකුණු අප්රිකාව එරෙහි පැවති එක්දින තරඟයෙන් ශ්රී ලංකා කණ්ඩායමට විශිෂ්ට ජයක් සුභ පැතුම් සිංහයනි ඉදිරිය තවත් සුභ වේවා,0,1,0
57,1.43348E+18,9/2/2021 17:23,Other,මා ප්රිය ක්රීඩා හිත මිතුර මිතුරියනි හෙට මට සියල් අවසන එකක් දුන මැනව ඔබලා ටුවීට් දැක ක්රිකට් එපා වී ඇත,27,3148,0
58,1.43336E+18,9/2/2021 9:27,Sport,ජපානයේ ටෝකියෝ නුවරදී දැන් පැවැත්වෙන පැරාලිම්පික් ක්රීඩා උළෙලේදී හෙල්ල විසිකිරීම ඉසව්වෙන් පදක්කම දිනූ දිනේෂ ප්රියන්ත ක්රීඩා අමාත්යාංශයෙන් රුපියල් කෝටි ක් හෙවත් රුපියල් ලක්ෂ ක මුදල් ත්යාග පිරිනැමී තීරණය කර ඇතැයි ක්රීඩා අධ්යක්ෂ ජනරාල්,0,116,0
59,1.43333E+18,9/2/2021 7:30,Sport,දිනේෂ ප්රියන්ත මිලියන ත්යාග සහ දුලාන් කොඩිතුවක්කු හට මිලියන ක ත්යාග මුදලක් පරිත්යාග කිරීමට ක්රීඩා අමාත්යංශය තීරණය කරයි,7,371,3
60,1.43332E+18,9/2/2021 6:48,Entertainment,ප්රමාද වී ක්රීඩා පිටියට පැමිණි නිසා මැලේසියා යගුලිය ශූරයාගේ රන් පදක්කම ආපසු ගනියි,1,102,0
61,1.43442E+18,9/5/2021 7:33,Entertainment,පොට්ටු මොන්ට්රියල් ස්ත්රීවාදී සිනමා උලෙළට,0,417,0
62,1.43438E+18,9/5/2021 4:48,Entertainment,වැනිස් සිනමා උළෙලේ හතරවන දවසේ සියලු විස්තර,3,240,2
63,1.43414E+18,9/4/2021 13:15,Entertainment,ප්රවීණ වේදිකා හා සිනමා නළු කුමාර තිරමාදුර මහතාට කොරෝනා වෛරස ආසාදනයවී ප්රතිකාර ලබමින් පසුවන බව වාර්තාවේ ඔහුගේ බිරියටද රෝගය වැළඳී ඇති අතර මේ වනවිට දෙදෙනාම නිරෝධායනය වෙමින් පසුවේ තිරමාදුර මහතා වන වියෙහි පසුවන අතර මොරටුවේ පදිංචිව සිටියි කුමාර තිරම,0,7425,1
64,1.43401E+18,9/4/2021 4:39,Entertainment,සමගි වාර්තා අලුත කරමින් නිමාවූ වැනිස් සිනමා උළෙලේ තුන්වෙනි දවසේ සියලු විස්තර,3,240,1
65,1.43343E+18,9/2/2021 13:43,Entertainment,යහපත් ආමුණක් තිබුණු නිල් සිනමා නිළිය ගැන මේ එකෙන් බලන්න,2,535,1
66,1.43635E+18,9/10/2021 15:26,Other,ආනයන රෙගුලාසි නිසා භාණ්ඩ හිඟයක හෝ මිල වැඩිවී සිදු වෙයිද ඇමති කියන කතාව,3,125183,0
67,1.43633E+18,9/10/2021 13:49,Other,අමාත්ය චමල් රාජපක්ෂ මහතාට කොවිඩ් වෛරස ආසාදන වී ඇතැයි වාර්තා විය ඒ අනුව අමාත්යවරය මේ වනවිට කොළඹ පෞද්ගලික රෝහලක ප්රතිකාර ලබමින් සිටින බවද වැඩිදුර වාර්තා වේ,0,116,0
68,1.4363E+18,9/10/2021 12:21,Other,ඇමති චමල් කොවිඩ් ඇමතිචමල්ටකොවිඩ්,0,373,0
69,1.4363E+18,9/10/2021 12:18,Other,ඇමති චමල් ට කොවිඩ් අමාත්ය චමල් රාජපක්ෂ මහතාට කොවිඩ් වෛරස ආසාදන වී ඇතැයි වාර්තා විය වැඩි විස්තර,12,117259,4
70,1.4363E+18,9/10/2021 12:07,Other,ඇමති වරු මාස්ක් දමාගෙන එන විධි වැරදියිඒ නිසාම ගරු ඇමතිතුමාට කොරෝනා ආසාදන වෙන්න ඇතිමාස්ක් පළදින ආකාරය ගැන ඔවුන්ට කියාදෙන්න ඕනමාස්ක් පළදින ආකාරය ගැන රටට හරිය දැනුවත කිරීමක් නොකරන නිසා විය හැකියි කොරෝනා පැතිරී ඉහල යන්නේඔය මාස්ක් වර්ග කවීකරණය කරන්න ඕනමා ඒවා නවීකරණ කරනව,0,7,0
71,1.4363E+18,9/10/2021 11:48,Politics,මාලදිවයින මෙරටින් වැලි යැවූ බව ඔප්පුකළහොත් ඇමති ධූරයෙ ඉවත්වෙනවා මහින්ද අමරවීර,1,1078,1
72,1.43628E+18,9/10/2021 11:04,Other,මනුෂගේ යට ඇඳුම් ප්රශ්නයට ඇමති කංචනගෙන් පිළිතුරු,1,1046,0
73,1.43627E+18,9/10/2021 10:20,Other,ඇමති බන්දුල ආණ්ඩුවට ඡන්ද ලක්ෂ ක් නැතිකරන කුමන්ත්රණයක යෙදෙන වෛද්ය වසන්ත බණ්ඩාර,0,66,0
74,1.43626E+18,9/10/2021 9:16,Other,අවුරුදු අතර ළමු කොවිඩ් එන්නත දීම කඩිනම් කරනවා සෞඛ්ය ඇමති,1,8808,0
75,1.43622E+18,9/10/2021 6:41,Other,මේ කොරෝනා අස්සෙ ඕක කරන්න විදිහක තිබ්බෙම නැද්ද ඩිගිටල් ඇමති මල්ලි ගෙන් හරි රාජ්ය ඇමති පුතාගෙන් හරි අහලා මොකක් හරි කොස්සක් තියෙනවා,0,111,0
76,1.43622E+18,9/10/2021 6:39,Other,ඇඳිරිනීතිය දීර්ඝ කළ බවට ඇමති කෙහෙළිය දැමූ සටහනට ලැබුණ ප්රතිචාර ඇඳිරිනීතිය දීර්ඝ කළ බවට ඇමති කෙහෙළිය දැමූ සටහනට ලැබුණ ප්රතිචාර,1,7425,0
77,1.43621E+18,9/10/2021 6:19,Politics,ඇමති නාමල්ගෙන් යාපනයේ දී සැර කතාවක්,0,946,0
78,1.43621E+18,9/10/2021 6:02,Politics,වයස අතර දරුවන්ගේ එන්නත්කරණය කඩිනමි ඇරඹී අවධානය සෞඛ්ය ඇමති,0,2240,0
79,1.43616E+18,9/10/2021 2:46,Crime,තලෙයිබාන් ඇමති ලැයිස්තුවට ජාත්යන්තර ත්රස්ත්රවාදීන්,1,325,1
81,1.43603E+18,9/9/2021 18:08,Other,මොළ හතාගේ කෝටි අටේ ගේම ඩොලර වාණිජ බැංකුවල විනිමය අනුපාතය රුපියල් ක් වී තිබියදී ලාෆ් ගෑස් සමාගමට රුපියල් බැගින් නිකුත් කරන ලෙස මුදල් ඇමති බැසිල්රාජපක්ෂ මහජන බැංකුවට නියෝග කිරීමෙන් රුපියල් මිලියන කට වැඩි අලාභ එම රාජ්ය බැංකුවට සිදු කරලා,13,2422,3
82,1.43601E+18,9/9/2021 17:13,Other,ඕකේ ස්ටොක් ටික තියෙනවා මහ රෝහලේ අයට පොහොට්ටු ඇමති කෙනෙක් අල්ලා ලක්ශ හතරේ ඩෝස් එකක් ලක්ශ හය ගානේ ඩෝස් දෙකක් ගත්තා,2,1547,0
83,1.43601E+18,9/9/2021 16:42,Other,බඩු හංගන්න එපා බලහත්කාරය අරන් ජනතාවට බෙද ඇමති,0,22,0
84,1.436E+18,9/9/2021 15:55,Politics,භාන්ඩ තියෙන කඩවල වහලා කියනවා භාන්ඩ හිඟයි කියලා රාජ්ය ඇමති ජනක වක්කුඹුර,1,67643,0
86,1.43595E+18,9/9/2021 12:36,Other,ඇමති ඩලස් මහාචාර්ය නිලීකාගෙන් සමාව ඉල්ලයි,0,1340,0
87,1.43594E+18,9/9/2021 12:02,Other,පාලන මිලට වෙළෙඳපොල සහල නිකුත් කරනවා රාජ්ය ඇමති සිරිපාල ගම්ලත්,1,2240,0
88,1.43586E+18,9/9/2021 7:09,Other,ඇත්ත නමිි කොන්ද ලන ඇතිව ඇමති කමින් ඉල්ලා අස්විය යුතුය,0,4,0
89,1.43586E+18,9/9/2021 6:47,Other,ඇෆ්ගනිස්තාන අන්තර්වාර ඇමති මණ්ඩල කාන්තා විරෝධය,0,114,0
90,1.43586E+18,9/9/2021 6:45,Other,අගමැති සහ විදේශ ඇමති ඉතාලි යන්නේ පාස්කු ප්රහාරය ගැන සාකච්ඡා කරන්නද,5,67643,0
91,1.43584E+18,9/9/2021 5:47,Other,අයිස් ක්රීම් යෝගට් නිෂ්පාදනය නොව දියර කිරි හා පිටි කිරි නිෂ්පාදනය ප්රමුඛතාවය දෙන්න රාජ්ය ඇමති ඩීබී හේරත් පෞද්ගලික අංශවල ඉල්ලයි,4,303,1
92,1.43581E+18,9/9/2021 3:47,Politics,ඇමති කෙහෙළිය රඹුක්වැල්ල සදහා එන්නත කෝටා එකක් දුන්නා බොරු නම් නඩු දාන්,0,203,0
93,1.43579E+18,9/9/2021 2:20,Other,කිසිම රජයක මහ බැංකුවට දේශපාලඥයන් දැම්මේ නෑ අසෝක ඩයස් සමගි ජන බලවේග පාර්ලිමේන්තු මන්ත්රී ගරු ඉරාන් වික්රමරත්න මහතා සමග පැවැත්වු පැතිකඩ සංවාදය ඇමති කබ්රාල් මහ බැංකු යයි ද ඉරාන් වික්රමරත්න විග්රහ,0,157,0
94,1.43563E+18,9/8/2021 15:59,Other,ඇමති කබ්රාල් මහ බැංකු යයිද හෙට උදෑසන ට සිරස පැතිකඩ බලන්න,14,52779,1
95,1.43562E+18,9/8/2021 15:21,Politics,දැන් අලුත්ම කතාව කබ්රාල්ව මහා බැංකු අධිපති කරන්න ඕනා රට ගොඩ දාන් ගොටව ජනාධිපති කලා දුන්නා සංශෝදන කරගත්ත නාමල්ට ඇමතිකම් බර ගානක දුන්නා බැසිල් මුදල් ඇමති කලා ඒව හරියන්නෙ නෑ ලු කබ්රාල්ව මහා බැංකු අධිපති නොකර කබ්රාල්ටත් බැරි වුනාම කාගෙ වාරය ද,49,1300,7
96,1.43561E+18,9/8/2021 14:28,Other,කොවිඩ් ව්යසනය මැද ජීවිත රැක ගැනීම ප්රමුඛ අරමුණයි වෙනි අග්නිදිග ආසියානු කලාපීය සමුළු අමතමින් සෞඛ්ය ඇමති කියයි,1,28,0
97,1.4356E+18,9/8/2021 13:44,Politics,ගෝඨාභය කෝල් කරලා කොයි වෙලාවකවත් අධිකරණ තීන්දු එඩිට් කරලා නෑ රාජ්ය ඇමති කිව්වේ ගෑස් සමාගම් වල ඉදලා පාරිභෝගික අධිකාරිය නඩු දාපුවා නඩු කල් යන එකට රජය මොකද කරන්නේ,1,896,0
98,1.43559E+18,9/8/2021 12:46,Politics,කොවිඩ් රැලි පරාජය කිරීමට ශක්තිමත් නායකත්ව සහ මහජන සෞඛ්ය පිළිවෙත් ඉවහල් වුණා සෞඛ්ය ඇමති කොවිඩ්රැලිපරාජයකිරීමටශක්තිමත්නායකත්වයසහමහජනසෞඛ් යපිළිවෙත්ඉවහල්වුණාඇමති,0,373,0
99,1.43558E+18,9/8/2021 12:39,Other,දැනට අරඹා ඇති ව්යපෘති අකන්ඩව පවත්වාගෙන යනලෙස මුදල් ඇමති තුමා දන්වා සිටී,6,274,0
100,1.43549E+18,9/8/2021 6:18,Other,මන්නාර ද්රෝණි ඇති තෙල් සහ ගෑස් සම්පත තුළින් රටේ ණය මෙන් තුන් ගුණයක ආදායම ඉපයිය හැකියි බලශක්ති ඇමති,1,8808,1
101,1.43548E+18,9/8/2021 5:53,Other,එතකොට ඇයි අනේ ක් කිව්වේ කවුද අපේ ඇමති තුමා බොරු තොරතුරු සපයන එක්කෙනා,9,245,0
102,1.43548E+18,9/8/2021 5:46,Other,ඔය හම්බෙච්ච දෙයින් රට සන්වර්දනය කරන්නණය ගෙවන්න යොදා ගත්තොත් හොදයිනැත්තන් ඒකත් ඇමති වරුන්ගෙ වියදම් පියවන්න ගනී,3,9,0
